arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,140,first,loss,PRIZES,77,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,142,first,loss,PRIZES,141,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,141,second,loss,PRIZES,147,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,143,second,loss,PRIZES,131,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,144,first,win,PRIZES,146,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,147,second,win,NO_BENCH,29,6,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,145,second,loss,PRIZES,136,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,149,second,win,PRIZES,131,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,146,first,loss,PRIZES,162,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,151,second,win,NO_BENCH,43,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,148,first,win,PRIZES,144,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,153,second,loss,PRIZES,120,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,152,first,loss,PRIZES,161,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,150,first,loss,PRIZES,157,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,155,second,loss,PRIZES,137,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,154,first,win,PRIZES,140,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,157,second,win,NO_BENCH,13,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,159,second,win,PRIZES,81,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,156,first,loss,PRIZES,142,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,160,first,loss,PRIZES,100,6,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,158,first,loss,PRIZES,149,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,161,second,loss,PRIZES,154,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,162,first,loss,PRIZES,139,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,164,first,loss,PRIZES,125,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,163,second,loss,PRIZES,138,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,165,second,loss,PRIZES,95,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,167,second,loss,PRIZES,135,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,169,second,win,NO_BENCH,19,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,166,first,loss,PRIZES,133,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,168,first,loss,PRIZES,166,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,170,first,win,PRIZES,159,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,172,first,loss,PRIZES,117,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,171,second,win,PRIZES,146,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,174,first,loss,PRIZES,153,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,175,second,loss,PRIZES,132,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,173,second,loss,PRIZES,122,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,176,first,loss,PRIZES,131,6,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,178,first,win,PRIZES,166,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,177,second,loss,PRIZES,157,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,179,second,win,PRIZES,143,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,180,first,loss,PRIZES,138,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,181,second,win,PRIZES,136,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,182,first,win,PRIZES,154,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,183,second,win,PRIZES,152,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,184,first,loss,PRIZES,158,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,185,second,loss,PRIZES,118,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,186,first,loss,PRIZES,164,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,187,second,loss,PRIZES,145,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,189,second,loss,PRIZES,111,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,188,first,win,PRIZES,134,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,190,first,loss,PRIZES,132,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,191,second,loss,PRIZES,83,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,192,first,loss,PRIZES,140,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,193,second,loss,PRIZES,173,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,194,first,loss,PRIZES,140,2,0
