opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,237,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,238,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,239,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,240,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,241,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,242,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,243,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,244,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,245,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,246,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,247,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,248,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,249,second,loss
